time,total_value_usd,total_value_krw,cash_usd,invested_usd,daily_pnl_usd,daily_return,cumulative_return,max_drawdown,open_positions,exchange_rate,trading_pnl
2026-03-09 01:45:30.661172+00,996.3300,,155.6200,840.7100,0.0000,0.000000,-0.003670,-0.668035,5,,0.00
2026-03-09 14:30:15.509972+00,986.5900,,155.6200,830.9700,-9.7400,-0.009781,-0.013415,-0.671282,5,,0.00
2026-03-09 16:00:10.996303+00,994.3300,,155.6200,838.7100,7.7400,0.007848,-0.005667,-0.671280,5,,0.00
2026-03-09 18:00:07.330284+00,991.3200,,155.6200,835.7000,-3.0100,-0.003027,-0.008680,-0.671280,5,,0.00
2026-03-09 22:00:54.032581+00,992.8700,,155.6200,837.2500,1.5500,0.001564,-0.007130,-0.671280,5,,0.00
2026-03-10 00:10:51.664936+00,992.8700,,371.5700,621.3000,0.0000,0.000000,-0.007130,-0.671280,4,,0.00
2026-03-10 00:24:36.063871+00,992.8700,,371.5700,621.3000,-7.1300,-0.007130,-0.007130,-0.014010,4,,-7.13
2026-03-10 08:39:26.379883+00,992.8700,,371.5700,621.3000,0.0000,0.000000,-0.007130,-0.014010,4,,-7.13
2026-03-10 11:55:27.155326+00,992.8700,,371.5700,621.3000,0.0000,0.000000,-0.007130,-0.014010,4,,-7.13
2026-03-10 14:30:05.803599+00,993.4300,,371.5700,621.8600,0.5600,0.000560,-0.006570,-0.014010,4,,-6.57
2026-03-10 18:00:09.392846+00,988.8300,,371.5700,617.2600,-4.6000,-0.004600,-0.011170,-0.014010,4,,-11.17
2026-03-10 22:00:51.902391+00,987.3900,,371.5700,615.8200,-1.4400,-0.001440,-0.012610,-0.014010,4,,-12.61
2026-03-11 14:30:05.69508+00,986.7100,,371.5700,615.1400,-0.6800,-0.000685,-0.013295,-0.014010,4,,-13.29
2026-03-11 16:00:05.310387+00,982.4600,,371.5700,610.8900,-4.2500,-0.004250,-0.017540,-0.018135,4,,-17.54
2026-03-11 18:00:05.628674+00,984.6900,,371.5700,613.1200,2.2300,0.002232,-0.015308,-0.018135,4,,-15.31
2026-03-11 22:00:35.241512+00,986.2600,,371.5700,614.6900,1.5700,0.001570,-0.013740,-0.018135,4,,-13.74
2026-03-12 14:30:06.080013+00,993.6800,,371.5700,622.1100,7.4200,0.007422,-0.006318,-0.018135,4,,-6.32
2026-03-12 16:00:06.422709+00,991.6600,,438.6800,552.9800,-2.0200,-0.002024,-0.008344,-0.018135,4,,-8.34
2026-03-12 18:00:07.151228+00,993.0800,,438.6800,554.4000,1.4200,0.001415,-0.006925,-0.018135,4,,-6.92
2026-03-12 22:00:50.863655+00,987.5300,,438.6800,548.8500,-5.5500,-0.005550,-0.012470,-0.018135,4,,-12.47
2026-03-13 16:00:11.274473+00,985.6500,,250.7800,734.8700,-1.8800,-0.001878,-0.014348,-0.018135,5,,-14.35
2026-03-13 18:00:07.46404+00,984.6700,,250.7800,733.8900,-0.9800,-0.000984,-0.015334,-0.018135,5,,-15.33
2026-03-13 22:00:52.629817+00,982.6900,,250.7800,731.9100,-1.9800,-0.001980,-0.017310,-0.018135,5,,-17.31
2026-03-15 22:01:21.784443+00,982.6900,,250.7800,731.9100,0.0000,0.000000,-0.017310,-0.018135,5,,-17.31
2026-03-16 14:30:09.382285+00,987.4300,,250.7800,736.6500,4.7400,0.004745,-0.012565,-0.018135,5,,-12.57
2026-03-16 16:00:08.78424+00,984.3800,,250.7800,733.6000,-3.0500,-0.003045,-0.015615,-0.018135,5,,-15.62
2026-03-16 18:00:06.800226+00,984.5500,,250.7800,733.7700,0.1700,0.000166,-0.015454,-0.018135,5,,-15.45
2026-03-16 22:00:56.146259+00,983.7300,,250.7800,732.9500,-0.8200,-0.000820,-0.016270,-0.018135,5,,-16.27
2026-03-17 14:30:07.393146+00,998.3600,,250.7800,747.5800,14.6300,0.014630,-0.001640,-0.018135,5,,-1.64
2026-03-17 16:00:06.809374+00,994.6600,,250.7800,743.8800,-3.7000,-0.003700,-0.005340,-0.018135,5,,-5.34
2026-03-17 18:00:07.054754+00,994.2700,,250.7800,743.4900,-0.3900,-0.000390,-0.005730,-0.018135,5,,-5.73
2026-03-17 22:00:46.058375+00,993.7300,,250.7800,742.9500,-0.5400,-0.000540,-0.006270,-0.018135,5,,-6.27
2026-03-18 14:30:06.837958+00,996.5100,,250.7800,745.7300,2.7800,0.002780,-0.003490,-0.018135,5,,-3.49
2026-03-18 16:00:10.944728+00,999.7400,,250.7800,748.9600,3.2300,0.003230,-0.000260,-0.018135,5,,-0.26
